slice,B_Area1_5
169,0.05653
169,0.000185
169,0.000984
169,0.000431
169,0.02061
169,0.001845
169,0.000062
169,0.001661
169,0.000062
170,0.01772
170,0.000123
170,0.000123
170,0.03839
170,0.000369
170,0.000677
170,0.000246
170,0.000431
170,0.000062
170,0.000738
170,0.005721
170,0.000123
170,0.000062
170,0.001415
170,0.000431
171,0.1176
171,0.000062
171,0.003691
171,0.000062
171,0.005782
171,0.000062
172,0.05672
172,0.1449
172,0.000062
172,0.000062
172,0.03531
172,0.000431
172,0.003506
173,0.07203
173,0.1721
173,0.000062
173,0.000062
173,0.002891
173,0.000062
174,0.2828
174,0.001661
174,0.001169
174,0.00486
174,0.000554
174,0.000308
174,0.000431
174,0.000062
174,0.000246
175,0.2867
175,0.002338
175,0.01366
175,0.000062
175,0.000062
175,0.000123
175,0.000369
175,0.000123
175,0.000185
175,0.000062
176,0.2527
176,0.000677
176,0.001661
176,0.01009
177,0.08114
177,0.0545
177,0.000308
177,0.01224
178,0.04644
178,0.04245
178,0.000062
178,0.01033
179,0.004183
179,0.03236
179,0.00283
179,0.002338
180,0.02602
180,0.000369
180,0.000984
180,0.000123
181,0.01526
181,0.007505
181,0.000062
181,0.001845
181,0.000923
181,0.004491
181,0.000062
182,0.000615
182,0.005844
182,0.000123
182,0.001292
182,0.01575
182,0.007259
182,0.000738
183,0.001107
183,0.000431
183,0.000062
183,0.000123
183,0.003814
183,0.000369
183,0.000123
184,0.002092
184,0.000554
184,0.000861
185,0.002338
186,0.007997
187,0.000738
187,0.005413
188,0.000185
188,0.000615
188,0.000246
188,0.000062
188,0.000062
189,0.000062
189,0.000062
189,0.000369
190,0.001661
191,0.000185
191,0.000923
191,0.000062
191,0.000062
191,0.000062
191,0.000123
192,0.000492
192,0.000185
192,0.000369
192,0.000062
192,0.000246
192,0.00486
192,0.000554
193,0.000062
193,0.000062
193,0.000123
193,0.000677
193,0.000308
193,0.000062
193,0.000492
193,0.000246
194,0.000861
194,0.000062
194,0.000308
194,0.000062
194,0.000185
194,0.006582
194,0.000062
194,0.000369
194,0.005229
194,0.000185
195,0.000062
195,0.003383
195,0.000062
195,0.000062
195,0.000062
195,0.000062
195,0.001169
195,0.000185
195,0.001107
195,0.004737
195,0.000062
196,0.003076
196,0.000677
196,0.000123
196,0.000062
196,0.00283
196,0.000554
196,0.000062
196,0.000062
196,0.01519
196,0.000062
196,0.000246
197,0.00123
197,0.000062
197,0.000123
197,0.000062
197,0.000123
197,0.02288
197,0.00203
197,0.000246
197,0.000615
197,0.009289
197,0.000677
198,0.000123
198,0.000062
198,0.009166
198,0.005106
198,0.04275
198,0.01864
198,0.000062
198,0.000062
198,0.000308
198,0.000246
198,0.000369
198,0.01649
199,0.04977
199,0.07062
199,0.008058
199,0.000308
199,0.001845
199,0.000062
199,0.000431
199,0.000677
199,0.01156
199,0.000984
199,0.001845
199,0.01661
199,0.000062
200,0.05383
200,0.03371
200,0.08366
200,0.000554
200,0.003322
200,0.001599
200,0.003322
200,0.000738
200,0.02744
200,0.000246
201,0.07425
201,0.03426
201,0.000062
201,0.06939
201,0.006644
201,0.000185
201,0.001476
201,0.03291
201,0.000062
201,0.000308
202,0.0935
202,0.02928
202,0.06767
202,0.009719
202,0.000123
202,0.006459
202,0.000185
202,0.000246
202,0.000492
202,0.01507
202,0.000062
203,0.1193
203,0.02012
203,0.000615
203,0.06059
203,0.00892
203,0.001599
203,0.000062
203,0.002707
203,0.000369
203,0.000308
203,0.02221
203,0.000123
203,0.001845
203,0.000431
204,0.000246
204,0.000062
204,0.1369
204,0.000062
204,0.01519
204,0.05592
204,0.00892
204,0.000123
204,0.000062
204,0.05266
204,0.003014
204,0.000123
205,0.1412
205,0.05413
205,0.008181
205,0.000062
205,0.000123
205,0.07819
205,0.002522
206,0.000123
206,0.05475
206,0.008304
206,0.000369
206,0.1325
206,0.000062
206,0.1135
206,0.000246
207,0.000554
207,0.06047
207,0.000062
207,0.006644
207,0.1303
207,0.1131
207,0.000123
207,0.001538
208,0.001538
208,0.000123
208,0.05629
208,0.00812
208,0.000062
208,0.000062
208,0.000123
208,0.001107
208,0.1233
208,0.06607
208,0.001169
209,0.003814
209,0.05598
209,0.000062
209,0.000062
209,0.01858
209,0.1024
209,0.02873
210,0.001661
210,0.000062
210,0.002522
210,0.05739
210,0.000431
210,0.01126
210,0.01538
210,0.03488
210,0.000062
210,0.002092
211,0.005044
211,0.000062
211,0.05666
211,0.01003
211,0.004983
211,0.001107
212,0.008797
212,0.05512
212,0.009473
213,0.01273
213,0.05358
213,0.008735
213,0.004429
214,0.01519
214,0.0008
214,0.000185
214,0.000861
214,0.04952
214,0.007935
214,0.001353
215,0.01882
215,0.006213
215,0.000492
215,0.0462
215,0.006275
215,0.001538
216,0.01833
216,0.000062
216,0.04909
216,0.001538
217,0.01932
217,0.000062
217,0.000123
217,0.000246
217,0.000431
217,0.000923
217,0.000492
217,0.04601
218,0.02996
218,0.00123
218,0.00326
218,0.000369
218,0.0008
218,0.04503
218,0.000492
219,0.04158
219,0.003937
219,0.05456
220,0.04958
220,0.008181
220,0.05899
221,0.05961
221,0.01286
221,0.06533
222,0.08114
222,0.02036
222,0.000923
222,0.07062
223,0.1043
223,0.000431
223,0.001415
223,0.02048
223,0.000369
223,0.09012
224,0.1554
