slice,B_Area4
32,0.000062
32,0.000185
32,0.001353
32,0.000062
32,0.01532
32,0.000062
32,0.000123
32,0.01323
32,0.000062
32,0.000062
32,0.01421
32,0.000185
32,0.000062
32,0.000308
32,0.000062
32,0.000308
32,0.000123
32,0.05825
32,0.04146
32,0.000062
32,0.005413
32,0.02676
32,0.02694
32,0.000554
32,0.001661
32,0.000431
32,1.914
32,0.000431
32,0.03254
32,0.000615
32,0.00732
32,0.000062
32,0.000308
32,0.000431
32,0.000062
32,0.000062
32,0.000185
32,0.00609
32,0.02411
32,0.006521
32,0.000431
32,0.000554
32,0.0008
32,0.000431
32,0.000062
32,0.000923
32,0.01144
32,0.07437
32,0.000123
32,0.002215
32,0.000062
32,0.007136
32,0.000554
32,0.000369
32,0.000123
32,0.001599
32,0.000062
32,0.00689
32,0.003137
33,0.000123
33,0.001415
33,0.4297
33,0.000062
33,0.0008
33,0.0147
33,0.000062
33,0.000123
33,0.000123
33,0.000123
33,0.000062
33,0.000062
33,0.000431
33,0.000062
33,0.000369
33,0.01021
33,0.000062
33,0.000246
33,0.000062
33,0.000062
33,0.000062
33,0.05653
33,0.000246
33,0.000615
33,0.000185
33,0.000246
33,0.01347
33,0.03285
33,0.009965
33,0.000554
33,0.000062
33,0.000492
33,1.994
33,0.000431
33,0.000062
33,0.000431
33,0.000123
33,0.000062
33,0.000308
33,0.001046
33,0.005782
33,0.000123
33,0.000123
33,0.000554
33,0.02221
33,0.000923
33,0.000185
33,0.005967
33,0.000062
33,0.000185
33,0.000431
33,0.000246
33,0.000062
33,0.000123
33,0.000062
33,0.000123
33,0.009904
33,0.07369
33,0.000062
33,0.000062
33,0.000431
33,0.000062
33,0.000431
33,0.01335
34,0.002215
34,0.000492
34,0.000062
34,0.007997
34,0.000062
34,0.3453
34,0.000123
34,0.000123
34,0.000185
34,0.0147
34,0.000554
34,0.03125
34,0.000062
34,0.000062
34,0.03082
34,0.000062
34,0.001415
34,0.000062
34,0.000062
34,0.000123
34,0.03494
34,0.000123
34,0.000123
34,0.000246
34,0.007935
34,0.000123
34,0.05573
34,0.000369
34,0.000062
34,0.000185
34,0.004306
34,0.04306
34,0.02147
34,0.03746
34,2.08
34,0.004491
34,0.000062
34,0.000062
34,0.006275
34,0.000062
34,0.000369
34,0.00326
34,0.01624
34,0.000123
34,0.000062
